2002,,,,,2003,,,
1,Ameida,41,41,,,,,
2,Gierle,74,115,,1,Breda,87,87
3,Donkmeer,62,177,,,,,
4,St Saveur les Hautes,42,219,,2,France border,108,196
5,Serpignan,71,290,,,,,
6,Bertangles,15,305,,3,La Fere,90,286
7,St Paul,62,367,,,,,
8,Rambouillet,74,441,,4,Rambouillet,133,419
9,Vendome,84,525,,5,Bonneval,50,470
10,Loches,62,587,,6,Loches,99,569
11,St Savin,50,637,,7,Confolens,102,672
12,St Savin,0,637,,,,,
13,Mareuil,102,739,,8,Brantome,62,734
,,,,,9,Brantome,5,740
14,Ste Foy la Grande,58,797,,10,Tonneins,95,835
15,Mosaic,101,898,,,,,
16,Venerque,64,962,,11,Toulouse,110,946
17,Sigean,112,1074,,12,Sigean,97,1044
18,nr Fornells,109,1183,,13,Fornells,108,1153
19,Barcelona,67,1250,,14,Barcelona,66,1219
